facility_id,facility_name,reporting_entity,state,facility_type,installed_capacity_mw,latitude,longitude,timestamp,power_mw,emissions_t_co2e,received_at
569,Molong Solar Farm,AMP ENERGY AUSTRALIA 1-1 PTY LTD,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
570,Beryl Solar Farm,BANPU AUSTRALIA CO. PTY LTD,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
571,Manildra Solar Farm,BANPU AUSTRALIA CO. PTY LTD,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
582,Kennedy Energy Park Pty Ltd,KENNEDY ENERGY PARK HOLDINGS PTY LTD,QLD,company_entity,478.4090000000001,-20.8737982,144.4127665,2026-05-07 23:55:00,6.4,0.0,2026-05-29 00:47:43.619987
588,Corowa Solar Farm,METKA EGN AUSTRALIA HOLDINGS PTY LTD,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
589,Junee Solar Farm,METKA EGN AUSTRALIA HOLDINGS PTY LTD,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
590,Wagga Wagga North Solar Farm,METKA EGN AUSTRALIA HOLDINGS PTY LTD,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
598,Sebastopol Solar Farm,SEBASTOPOL HOLDINGS CO PTY LTD,NSW,solar,21.637,-34.6093863,147.5553293,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
600,Stockyard Wind Farm,STOCKYARD HILL WIND FARM (HOLDING) PTY LTD,VIC,wind_farm,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,448.14,0.0,2026-05-29 00:47:43.619987
601,Winton Solar Farm,WINTON HOLDINGS CO PTY. LTD.,VIC,solar,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
602,Mortlake South Wind Farm,ACCIONA ENERGY OCEANIA PTY LTD,VIC,wind_farm,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,138.33,0.0,2026-05-29 00:47:43.619987
603,Coopers Gap Wind Farm,AGL ENERGY LIMITED,QLD,wind_farm,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,397.51,0.0,2026-05-29 00:47:43.619987
605,Kiata Wind Farm,ATMOS TOPCO PTY LTD,VIC,wind_farm,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,29.3,0.0,2026-05-29 00:47:43.619987
608,Cohuna Solar Farm,ENEL GREEN POWER AUSTRALIA PTY LTD,VIC,solar,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
642,Bolivar Power Station,IBERDROLA AUSTRALIA LIMITED,SA,power_station,3.091,-30.5343665,135.6301212,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
645,Metz Solar Farm,METZ HOLDCO PTY LTD,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
651,Snapper Point Power Station,PORT ADELAIDE ENERGY PTY LTD,SA,power_station,3.091,-34.7645435,138.5083889,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
669,Gangarri Solar Farm,SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,QLD,solar,478.4090000000001,-26.2694941,149.759417,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
671,Gunnedah Solar Farm,THE TRUSTEE FOR GUNNEDAH ASSET TRUST,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
672,Suntop Solar Farm,THE TRUSTEE FOR SUNTOP ASSET TRUST,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
673,Kiamal Solar Farm,TOTALENERGIES RENEWABLES AUSTRALIA PTY LTD,VIC,solar,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
675,West Wyalong SF,WEST WYALONG HOLDCO 2 PTY LTD,NSW,other,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
676,Woolooga SF,WOOLOOGA HOLDCO 2 PTY LTD,QLD,other,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
677,New England Solar Farm,ACEN AUSTRALIA PTY LTD,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
681,Avonlie Solar Farm,IBERDROLA AUSTRALIA LIMITED,NSW,solar,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
682,Dulacca Wind Farm,OJRP HOLDCO PTY LTD,QLD,wind_farm,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,170.8984,0.0,2026-05-29 00:47:43.619987
683,Rye Park Wind Farm,PARF COMPANY 2 PTY LTD,NSW,wind_farm,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,278.5777,0.0,2026-05-29 00:47:43.619987
715,Clarke Creek Wind Farm,SQUADRON WIND ENERGY ASSETS PTY LTD,QLD,wind_farm,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,302.04740000000004,0.0,2026-05-29 00:47:43.619987
735,Wandoan Solar Farm 1,VENA ENERGY SERVICES (AUSTRALIA) PTY LTD,QLD,solar,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,0.9904,0.0,2026-05-29 00:47:43.619987
